,Year,Car,PTS,Champion,Average_points_Scored,No_of_times_secured_front_grid,Total_no_of_fastest_Laps,Win_percentage
0,1950,Alfa Romeo,81.0,1,4.238095238095238,6.0,6.0,0.8571428571428571
1,1950,Deidt Offenhauser,11.0,4,3.3333333333333335,0.0,0.0,0.0
2,1950,Ferrari,15.0,3,1.75,0.0,0.0,0.0
3,1950,Kurtis Kraft Offenhauser,13.0,4,1.0,1.0,1.0,0.14285714285714285
4,1950,Maserati,13.0,4,0.3103448275862069,0.0,0.0,0.0
5,1950,Maserati Milano,2.0,4,0.6666666666666666,0.0,0.0,0.0
6,1950,Simca-Gordini,3.0,4,0.6,0.0,0.0,0.0
7,1950,Talbot-Lago,19.0,2,0.5555555555555556,0.0,0.0,0.0
8,1951,Alfa Romeo,66.0,2,2.7777777777777777,4.0,7.0,0.625
9,1951,BRM,5.0,4,1.0,0.0,0.0,0.0
10,1951,Ferrari,74.0,1,2.7666666666666666,3.0,0.0,0.375
11,1951,Kurtis Kraft Offenhauser,19.0,3,1.2666666666666666,0.0,1.0,0.125
12,1951,Schroeder Offenhauser,2.0,4,1.0,0.0,0.0,0.0
13,1951,Sherman Offenhauser,3.0,4,3.0,0.0,0.0,0.0
14,1951,Talbot-Lago,2.0,4,0.1111111111111111,0.0,0.0,0.0
15,1952,Connaught Lea Francis,5.0,4,0.625,0.0,0.0,0.0
16,1952,Cooper Bristol,12.0,4,0.75,0.0,0.0,0.0
17,1952,Ferrari,100.0,1,2.6777777777777776,7.0,7.0,0.875
18,1952,Gordini,17.0,2,0.7391304347826086,0.0,0.0,0.0
19,1952,Kurtis Kraft Offenhauser,13.0,3,0.7222222222222222,0.0,1.0,0.0
20,1952,Kuzma Offenhauser,8.0,4,8.0,0.0,0.0,0.125
21,1952,Lesovsky Offenhauser,3.0,4,1.0,0.0,0.0,0.0
22,1952,Maserati,8.5,4,0.5666666666666667,0.0,0.0,0.0
23,1952,Simca-Gordini,2.0,4,0.0,0.0,0.0,0.0
24,1953,Ferrari,96.5,1,2.6739130434782608,6.0,5.0,0.7777777777777778
25,1953,Gordini,4.0,4,0.14814814814814814,0.0,0.0,0.0
26,1953,Kurtis Kraft Offenhauser,24.0,3,0.8275862068965517,1.0,1.0,0.1111111111111111
27,1953,Maserati,62.5,2,1.5853658536585367,2.0,3.0,0.1111111111111111
28,1954,Ferrari,78.7,1,1.8651162790697675,2.0,2.0,0.2222222222222222
29,1954,Gordini,4.1,4,0.16399999999999998,0.0,0.0,0.0
30,1954,Kurtis Kraft Offenhauser,18.0,4,0.6666666666666666,1.0,1.0,0.1111111111111111
31,1954,Kuzma Offenhauser,6.0,4,1.5,0.0,0.0,0.0
32,1954,Lancia,3.1,4,0.5,1.0,1.0,0.0
33,1954,Maserati,27.2,3,0.7847457627118644,1.0,2.0,0.2222222222222222
34,1954,Mercedes-Benz,62.0,2,3.338888888888889,4.0,3.0,0.4444444444444444
35,1955,Ferrari,39.9,2,1.4739130434782608,1.0,0.0,0.14285714285714285
36,1955,Kurtis Kraft Offenhauser,21.0,4,0.9130434782608695,0.0,1.0,0.14285714285714285
37,1955,Kuzma Offenhauser,3.0,4,0.75,0.0,0.0,0.0
38,1955,Lancia,2.0,4,1.0,1.0,0.0,0.0
39,1955,Maserati,23.0,3,0.5897435897435898,0.0,1.0,0.0
40,1955,Mercedes-Benz,78.0,1,3.761904761904762,4.0,5.0,0.7142857142857143
41,1956,BRM,4.0,4,0.0,0.0,0.0,0.0
42,1956,Connaught Alta,9.0,3,1.2857142857142858,0.0,0.0,0.0
43,1956,Ferrari,77.5,1,2.3676470588235294,6.0,4.0,0.75
44,1956,Gordini,2.0,4,0.14285714285714285,0.0,0.0,0.0
45,1956,Kurtis Kraft Novi,1.0,4,1.0,0.0,1.0,0.0
46,1956,Kurtis Kraft Offenhauser,8.0,4,0.36363636363636365,0.0,0.0,0.0
47,1956,Kuzma Offenhauser,3.0,4,0.42857142857142855,0.0,0.0,0.0
48,1956,Maserati,67.0,2,1.1428571428571428,1.0,3.0,0.25
49,1956,Phillips Offenhauser,4.0,4,4.0,0.0,0.0,0.0
50,1956,Vanwall,3.0,4,0.25,0.0,0.0,0.0
51,1956,Watson Offenhauser,8.0,4,8.0,1.0,0.0,0.125
52,1957,Cooper Climax,2.0,4,0.15384615384615385,0.0,0.0,0.0
53,1957,Epperly Offenhauser,15.0,4,7.5,0.0,1.0,0.125
54,1957,Ferrari,48.0,2,1.6551724137931034,0.0,1.0,0.0
55,1957,Kurtis Kraft Novi,3.0,4,1.5,0.0,0.0,0.0
56,1957,Kurtis Kraft Offenhauser,2.0,4,0.10526315789473684,1.0,0.0,0.0
57,1957,Kuzma Offenhauser,4.0,4,0.8,0.0,0.0,0.0
58,1957,Maserati,71.0,1,1.4181818181818182,5.0,3.0,0.5
59,1957,Vanwall,41.0,3,2.3125,2.0,3.0,0.5
60,1958,BRM,26.0,4,1.0909090909090908,0.0,0.0,0.0
61,1958,Cooper Climax,30.0,3,0.95,0.0,0.0,0.18181818181818182
62,1958,Epperly Offenhauser,20.0,4,5.0,0.0,1.0,0.09090909090909091
63,1958,Ferrari,86.0,1,2.735294117647059,4.0,6.0,0.18181818181818182
64,1958,Kurtis Kraft Offenhauser,4.0,4,0.2857142857142857,0.0,0.0,0.0
65,1958,Lotus Climax,3.0,4,0.15789473684210525,0.0,0.0,0.0
66,1958,Maserati,7.0,4,0.20930232558139536,1.0,1.0,0.0
67,1958,Vanwall,76.0,2,2.6153846153846154,5.0,3.0,0.5454545454545454
68,1959,BRM,10.0,3,1.0227272727272727,1.0,2.0,0.1111111111111111
69,1959,Cooper Climax,107.0,1,2.3214285714285716,5.0,4.0,0.5555555555555556
70,1959,Epperly Offenhauser,5.0,4,1.25,0.0,0.0,0.0
71,1959,Ferrari,67.0,2,2.310344827586207,2.0,2.0,0.2222222222222222
72,1959,Kurtis Kraft Offenhauser,8.0,4,0.0,0.0,0.0,0.0
73,1959,Lesovsky Offenhauser,5.0,4,2.5,1.0,1.0,0.0
74,1959,Lotus Climax,5.0,4,0.29411764705882354,0.0,0.0,0.0
75,1959,Watson Offenhauser,6.0,4,3.5,0.0,0.0,0.1111111111111111
76,1960,BRM,8.0,4,0.34782608695652173,0.0,1.0,0.0
77,1960,Cooper Castellotti,3.0,4,0.6,0.0,0.0,0.0
78,1960,Cooper Climax,115.0,1,1.9615384615384615,4.0,3.0,0.6
79,1960,Cooper Maserati,13.0,4,0.17647058823529413,0.0,0.0,0.0
80,1960,Epperly Offenhauser,4.0,4,0.6666666666666666,0.0,0.0,0.0
81,1960,Ferrari,18.0,3,1.7916666666666667,1.0,2.0,0.1
82,1960,Lesovsky Offenhauser,2.0,4,2.0,0.0,0.0,0.0
83,1960,Lotus Climax,51.0,2,1.7333333333333334,4.0,3.0,0.2
